TCLF_00   ;   Tempo : 00:00:11   ;   Registros : 13491   ;   CopyDataSet
TBCR_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCONFIG_00_02   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TRCC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TGRP_00   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TSCT_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRPA_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TCPM_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TETQG_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TBCT_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCCC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TORS_00_04   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TCONFIG_00_05   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TXML_NFE_00   ;   Tempo : 00:00:00   ;   Registros : 63   ;   ORM
TBCX_00_01_01   ;   Tempo : 00:00:15   ;   Registros : 16944   ;   CopyDataSet
TMEG_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFAT_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLFE_00_03   ;   Tempo : 00:00:05   ;   Registros : 6104   ;   CopyDataSet
TFAT_00_02_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPALM_MSR_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TREQ_00_02   ;   Tempo : 00:00:00   ;   Registros : 34   ;   ORM
TMFC_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCPF_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFP_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
THSP_00   ;   Tempo : 00:00:00   ;   Registros : 107   ;   ORM
TFAT_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TINVP_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TETQ_00_01   ;   Tempo : 00:00:05   ;   Registros : 3708   ;   CopyDataSet
TPPC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TREQ_00   ;   Tempo : 00:00:00   ;   Registros : 34   ;   ORM
TPES_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TOMF_00_09   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
